Hazard Name,Hazard Description,Likelihood,Severity
Impact between rail vehicle and person,Hazard involving: impact between rail vehicle and person.,3,1
Shock and vibration hazard,Hazard involving: shock and vibration hazard.,2,1
Operator deviation,Hazard involving: operator deviation.,1,1
Fall from height,Hazard involving: fall from height.,5,4
Hydraulic arm or rotational machinery hazard,Hazard involving: hydraulic arm or rotational machinery hazard.,4,4
Failure of passive protective system,Hazard involving: failure of passive protective system.,3,4
Hardware/software control failure,Hazard involving: hardware/software control failure.,5,2
"Flammable substances (solid, liquid, gas)","Hazard involving: flammable substances (solid, liquid, gas).",1,4
Noise hazard,Hazard involving: noise hazard.,3,5
Proof testing hazard,Hazard involving: proof testing hazard.,2,2
Electrostatic discharge including lightning,Hazard involving: electrostatic discharge including lightning.,5,4
Operator deviation,Hazard involving: operator deviation.,4,2
Pressure system failure,Hazard involving: pressure system failure.,1,1
Training inadequacy,Hazard involving: training inadequacy.,5,3
Component substitution error,Hazard involving: component substitution error.,2,3
Incident recording failure,Hazard involving: incident recording failure.,2,1
Pressure system failure,Hazard involving: pressure system failure.,5,1
Exposure to toxic materials,Hazard involving: exposure to toxic materials.,4,3
Damage repair failure,Hazard involving: damage repair failure.,3,2
Exposure to toxic/corrosive substances,Hazard involving: exposure to toxic/corrosive substances.,4,5
Training inadequacy,Hazard involving: training inadequacy.,2,1
Collision with object on track,Hazard involving: collision with object on track.,2,1
Explosive substances,Hazard involving: explosive substances.,2,4
Impact between rail vehicle and person,Hazard involving: impact between rail vehicle and person.,1,1
Cut or puncture projection exposure,Hazard involving: cut or puncture projection exposure.,3,1
Material incompatibilities,Hazard involving: material incompatibilities.,3,2
Failure of passive protective system,Hazard involving: failure of passive protective system.,4,4
Ergonomics/lighting related hazard,Hazard involving: ergonomics/lighting related hazard.,2,3
Ventilation failure,Hazard involving: ventilation failure.,1,3
Toxic substance control failure,Hazard involving: toxic substance control failure.,5,1
Warning alarm failure,Hazard involving: warning alarm failure.,1,1
Motion-related energy source hazard,Hazard involving: motion-related energy source hazard.,1,1
Hydraulic system failure,Hazard involving: hydraulic system failure.,3,1
Collision with rail structure,Hazard involving: collision with rail structure.,1,4
Security breach,Hazard involving: security breach.,3,3
Material incompatibilities,Hazard involving: material incompatibilities.,5,4
Sharp tools or machinery,Hazard involving: sharp tools or machinery.,5,4
Operator deviation,Hazard involving: operator deviation.,1,2
Exposure to toxic materials,Hazard involving: exposure to toxic materials.,1,4
Noise hazard,Hazard involving: noise hazard.,2,3
Material incompatibilities,Hazard involving: material incompatibilities.,5,2
Health hazard,Hazard involving: health hazard.,4,2
Fire or explosion hazard,Hazard involving: fire or explosion hazard.,5,4
High temperature or cryogenic fluid exposure,Hazard involving: high temperature or cryogenic fluid exposure.,5,4
Exhaust gas exposure,Hazard involving: exhaust gas exposure.,1,2
Fall from height,Hazard involving: fall from height.,3,5
Component substitution error,Hazard involving: component substitution error.,3,4
Impact between rail vehicle and person,Hazard involving: impact between rail vehicle and person.,3,4
Person trapped,Hazard involving: person trapped.,1,2
Person trapped,Hazard involving: person trapped.,4,5
Virus infection,Hazard involving: virus infection.,2,1
Pressure system failure,Hazard involving: pressure system failure.,4,5
Laser radiation exposure,Hazard involving: laser radiation exposure.,1,5
Derailment due to overspeed,Hazard involving: derailment due to overspeed.,3,2
Hardware/software control failure,Hazard involving: hardware/software control failure.,2,2
Hardware/software control failure,Hazard involving: hardware/software control failure.,4,4
Component substitution error,Hazard involving: component substitution error.,4,4
Fail-safe design failure,Hazard involving: fail-safe design failure.,5,2
Electrical arcing exposure,Hazard involving: electrical arcing exposure.,3,1
Ionising or non-ionising radiation,Hazard involving: ionising or non-ionising radiation.,4,4
Ventilation failure,Hazard involving: ventilation failure.,3,5
Collision between rail vehicles,Hazard involving: collision between rail vehicles.,1,3
Exposure to hazardous voltages,Hazard involving: exposure to hazardous voltages.,2,5
Foreign bodies and dust exposure,Hazard involving: foreign bodies and dust exposure.,2,2
Impact between rail vehicle and person,Hazard involving: impact between rail vehicle and person.,3,2
Exposure to hazardous voltages,Hazard involving: exposure to hazardous voltages.,5,2
Wet or uneven floor surface,Hazard involving: wet or uneven floor surface.,1,5
Egress/rescue hazard,Hazard involving: egress/rescue hazard.,3,2
Electrical arcing exposure,Hazard involving: electrical arcing exposure.,2,2
Security breach,Hazard involving: security breach.,1,2
Shock and vibration hazard,Hazard involving: shock and vibration hazard.,3,3
Motion-related energy source hazard,Hazard involving: motion-related energy source hazard.,1,2
Flammable materials,Hazard involving: flammable materials.,1,1
Derailment due to object on track,Hazard involving: derailment due to object on track.,5,3
Insect/rodent/mould damage,Hazard involving: insect/rodent/mould damage.,3,4
Motion-related energy source hazard,Hazard involving: motion-related energy source hazard.,2,1
Hazardous surface hazard,Hazard involving: hazardous surface hazard.,4,1
Laser radiation exposure,Hazard involving: laser radiation exposure.,1,1
Training inadequacy,Hazard involving: training inadequacy.,2,3
Shock and vibration hazard,Hazard involving: shock and vibration hazard.,5,5
Derailment due to infrastructure failure,Hazard involving: derailment due to infrastructure failure.,1,1
Exposure to toxic materials,Hazard involving: exposure to toxic materials.,5,5
Health hazard,Hazard involving: health hazard.,4,5
Flammable materials,Hazard involving: flammable materials.,2,2
Impact from heavy object,Hazard involving: impact from heavy object.,4,1
Collision with object on track,Hazard involving: collision with object on track.,4,3
Fire/explosion initiation risk,Hazard involving: fire/explosion initiation risk.,1,5
Derailment due to infrastructure failure,Hazard involving: derailment due to infrastructure failure.,3,4
Design deviation,Hazard involving: design deviation.,3,1
Shock and vibration hazard,Hazard involving: shock and vibration hazard.,3,1
Damage repair failure,Hazard involving: damage repair failure.,2,1
Shock and vibration hazard,Hazard involving: shock and vibration hazard.,1,5
Egress/rescue hazard,Hazard involving: egress/rescue hazard.,1,3
Explosion potential,Hazard involving: explosion potential.,5,4
Maintenance error,Hazard involving: maintenance error.,5,1
Exposed wiring or faulty equipment,Hazard involving: exposed wiring or faulty equipment.,3,5
Explosion device,Hazard involving: explosion device.,3,1
Proof testing hazard,Hazard involving: proof testing hazard.,3,4
Training inadequacy,Hazard involving: training inadequacy.,1,3
Training inadequacy,Hazard involving: training inadequacy.,3,4
"Smoke exposure in vehicle, station or depot","Hazard involving: smoke exposure in vehicle, station or depot.",3,2
Foreign bodies and dust exposure,Hazard involving: foreign bodies and dust exposure.,1,1
Exposure to hazardous voltages,Hazard involving: exposure to hazardous voltages.,5,2
Collision with object on track,Hazard involving: collision with object on track.,4,3
Sharp tools or machinery,Hazard involving: sharp tools or machinery.,5,2
Failure of passive protective system,Hazard involving: failure of passive protective system.,4,5
Sharp object exposure,Hazard involving: sharp object exposure.,5,4
Training inadequacy,Hazard involving: training inadequacy.,1,2
Support equipment hazard,Hazard involving: support equipment hazard.,2,1
Explosion potential,Hazard involving: explosion potential.,4,2
Derailment due to object on track,Hazard involving: derailment due to object on track.,1,3
Hostile act,Hazard involving: hostile act.,5,5
Interlock failure,Hazard involving: interlock failure.,2,5
Impact from object falling from vehicle,Hazard involving: impact from object falling from vehicle.,5,5
Flammable materials,Hazard involving: flammable materials.,1,4
Derailment due to object on track,Hazard involving: derailment due to object on track.,4,4
Explosive substances,Hazard involving: explosive substances.,4,2
Warning alarm failure,Hazard involving: warning alarm failure.,5,1
Exposure to toxic materials,Hazard involving: exposure to toxic materials.,5,2
Passive obstacle impact,Hazard involving: passive obstacle impact.,4,3
Impact from heavy object,Hazard involving: impact from heavy object.,5,1
Foreign bodies and dust exposure,Hazard involving: foreign bodies and dust exposure.,2,5
Passive obstacle impact,Hazard involving: passive obstacle impact.,4,2
Fire/explosion initiation risk,Hazard involving: fire/explosion initiation risk.,5,1
Warning alarm failure,Hazard involving: warning alarm failure.,4,4
Hazard containment failure,Hazard involving: hazard containment failure.,5,2
Electromagnetic interference risk,Hazard involving: electromagnetic interference risk.,4,5
Interlock failure,Hazard involving: interlock failure.,5,5
PPE inadequacy,Hazard involving: ppe inadequacy.,3,3
Design deviation,Hazard involving: design deviation.,3,3
Training inadequacy,Hazard involving: training inadequacy.,3,4
"Fire in vehicle, station, depot or trackside","Hazard involving: fire in vehicle, station, depot or trackside.",1,5
Person trapped,Hazard involving: person trapped.,2,5
Motion-related energy source hazard,Hazard involving: motion-related energy source hazard.,4,3
Hardware/software control failure,Hazard involving: hardware/software control failure.,5,1
Material incompatibilities,Hazard involving: material incompatibilities.,4,1
Extreme temperature exposure,Hazard involving: extreme temperature exposure.,1,5
Component substitution error,Hazard involving: component substitution error.,1,2
Extreme pressure exposure,Hazard involving: extreme pressure exposure.,5,2
Flying object impact,Hazard involving: flying object impact.,3,3
Electrical arcing exposure,Hazard involving: electrical arcing exposure.,5,3
User error,Hazard involving: user error.,4,3
Sharp tools or machinery,Hazard involving: sharp tools or machinery.,2,5
Impact from heavy object,Hazard involving: impact from heavy object.,4,5
Fire/explosion initiation risk,Hazard involving: fire/explosion initiation risk.,2,2
Impact from object falling from vehicle,Hazard involving: impact from object falling from vehicle.,4,2
Electrical protection failure,Hazard involving: electrical protection failure.,5,3
"Smoke exposure in vehicle, station or depot","Hazard involving: smoke exposure in vehicle, station or depot.",5,1
Extreme pressure exposure,Hazard involving: extreme pressure exposure.,4,2
Derailment due to rolling stock fault,Hazard involving: derailment due to rolling stock fault.,4,2
"Slip, trip or fall hazard","Hazard involving: slip, trip or fall hazard.",2,4
Derailment due to infrastructure failure,Hazard involving: derailment due to infrastructure failure.,2,3
Motion-related energy source hazard,Hazard involving: motion-related energy source hazard.,1,5
Hazardous surface hazard,Hazard involving: hazardous surface hazard.,2,4
Electrical arcing exposure,Hazard involving: electrical arcing exposure.,4,3
Extreme temperature exposure,Hazard involving: extreme temperature exposure.,1,3
Toxic substance control failure,Hazard involving: toxic substance control failure.,4,1
Maintenance error,Hazard involving: maintenance error.,5,3
Derailment due to object on track,Hazard involving: derailment due to object on track.,4,2
Damage containment failure,Hazard involving: damage containment failure.,5,4
Damage containment failure,Hazard involving: damage containment failure.,4,2
Ergonomics/lighting related hazard,Hazard involving: ergonomics/lighting related hazard.,4,3
High temperature or cryogenic fluid exposure,Hazard involving: high temperature or cryogenic fluid exposure.,4,3
Noise hazard,Hazard involving: noise hazard.,3,3
Explosive substances,Hazard involving: explosive substances.,5,2
Ionising or non-ionising radiation,Hazard involving: ionising or non-ionising radiation.,4,2
Crash safety hazard,Hazard involving: crash safety hazard.,5,1
Explosion device,Hazard involving: explosion device.,4,4
Person trapped,Hazard involving: person trapped.,3,1
Explosion potential,Hazard involving: explosion potential.,5,3
Extreme temperature exposure,Hazard involving: extreme temperature exposure.,5,2
Drop hazard,Hazard involving: drop hazard.,3,5
Proof testing hazard,Hazard involving: proof testing hazard.,1,5
Electrostatic discharge including lightning,Hazard involving: electrostatic discharge including lightning.,1,2
Exposure to toxic/corrosive substances,Hazard involving: exposure to toxic/corrosive substances.,5,3
Fire/explosion initiation risk,Hazard involving: fire/explosion initiation risk.,1,3
Material incompatibilities,Hazard involving: material incompatibilities.,5,5
Sharp object exposure,Hazard involving: sharp object exposure.,3,1
Hazardous surface hazard,Hazard involving: hazardous surface hazard.,5,1
Wet or uneven floor surface,Hazard involving: wet or uneven floor surface.,5,2
Electrical source hazard,Hazard involving: electrical source hazard.,4,1
Hardware/software control failure,Hazard involving: hardware/software control failure.,1,3
Electromagnetic interference risk,Hazard involving: electromagnetic interference risk.,3,1
Impact from heavy object,Hazard involving: impact from heavy object.,3,4
Proof testing hazard,Hazard involving: proof testing hazard.,4,1
PPE inadequacy,Hazard involving: ppe inadequacy.,5,2
Electromagnetic interference risk,Hazard involving: electromagnetic interference risk.,2,1
Extreme pressure exposure,Hazard involving: extreme pressure exposure.,5,1
Impact between rail vehicle and person,Hazard involving: impact between rail vehicle and person.,3,2
Hazardous material storage issue,Hazard involving: hazardous material storage issue.,5,5
Material incompatibilities,Hazard involving: material incompatibilities.,2,5
Design deviation,Hazard involving: design deviation.,3,4
Hazard containment failure,Hazard involving: hazard containment failure.,4,5
Hazardous material assembly issue,Hazard involving: hazardous material assembly issue.,2,3
High temperature or cryogenic fluid exposure,Hazard involving: high temperature or cryogenic fluid exposure.,4,4
Hardware/software control failure,Hazard involving: hardware/software control failure.,3,2
Motion-related energy source hazard,Hazard involving: motion-related energy source hazard.,3,1
Explosive substances,Hazard involving: explosive substances.,3,2
Electrical protection failure,Hazard involving: electrical protection failure.,2,1
Material incompatibilities,Hazard involving: material incompatibilities.,3,3
Virus infection,Hazard involving: virus infection.,2,3
Explosive substances,Hazard involving: explosive substances.,3,2
Passive obstacle impact,Hazard involving: passive obstacle impact.,1,1
Failure of passive protective system,Hazard involving: failure of passive protective system.,2,4
Collision with object on track,Hazard involving: collision with object on track.,4,5
Interlock failure,Hazard involving: interlock failure.,1,4
Toxic or corrosive substance exposure,Hazard involving: toxic or corrosive substance exposure.,5,2
Exposure to hazardous voltages,Hazard involving: exposure to hazardous voltages.,5,3
Failure of active protective system,Hazard involving: failure of active protective system.,5,5
Exhaust gas exposure,Hazard involving: exhaust gas exposure.,2,2
Laser radiation exposure,Hazard involving: laser radiation exposure.,1,1
Collision with rail structure,Hazard involving: collision with rail structure.,3,1
PPE inadequacy,Hazard involving: ppe inadequacy.,1,3
Sharp tools or machinery,Hazard involving: sharp tools or machinery.,5,5
Extreme pressure exposure,Hazard involving: extreme pressure exposure.,3,3
Explosive substances,Hazard involving: explosive substances.,3,2
Ionising or non-ionising radiation,Hazard involving: ionising or non-ionising radiation.,3,2
Impact between rail vehicle and person,Hazard involving: impact between rail vehicle and person.,5,5
Virus infection,Hazard involving: virus infection.,3,2
Hydraulic arm or rotational machinery hazard,Hazard involving: hydraulic arm or rotational machinery hazard.,4,1
Inadvertent activation of system,Hazard involving: inadvertent activation of system.,1,5
"Smoke exposure in vehicle, station or depot","Hazard involving: smoke exposure in vehicle, station or depot.",5,2
Drop hazard,Hazard involving: drop hazard.,1,4
PPE inadequacy,Hazard involving: ppe inadequacy.,3,5
Health hazard,Hazard involving: health hazard.,5,4
Support equipment hazard,Hazard involving: support equipment hazard.,3,2
Sharp tools or machinery,Hazard involving: sharp tools or machinery.,3,2
Component substitution error,Hazard involving: component substitution error.,3,4
Person trapped,Hazard involving: person trapped.,2,3
Exposure to toxic/corrosive substances,Hazard involving: exposure to toxic/corrosive substances.,2,5
Hydraulic arm or rotational machinery hazard,Hazard involving: hydraulic arm or rotational machinery hazard.,2,4
Egress/rescue hazard,Hazard involving: egress/rescue hazard.,1,1
Electromagnetic interference risk,Hazard involving: electromagnetic interference risk.,5,2
Hostile act,Hazard involving: hostile act.,3,5
Explosive substances,Hazard involving: explosive substances.,2,4
"Flammable substances (solid, liquid, gas)","Hazard involving: flammable substances (solid, liquid, gas).",5,3
Hardware/software control failure,Hazard involving: hardware/software control failure.,1,3
Fire suppression system failure,Hazard involving: fire suppression system failure.,3,3
Fire or explosion hazard,Hazard involving: fire or explosion hazard.,3,5
Hardware/software control failure,Hazard involving: hardware/software control failure.,5,3
Operator deviation,Hazard involving: operator deviation.,2,5
Hydraulic system failure,Hazard involving: hydraulic system failure.,3,3
Fire suppression system failure,Hazard involving: fire suppression system failure.,5,2
Noise hazard,Hazard involving: noise hazard.,4,2
Collision with object on track,Hazard involving: collision with object on track.,3,4
Explosion device,Hazard involving: explosion device.,2,3
Incident recording failure,Hazard involving: incident recording failure.,5,1
Exposure to hazardous voltages,Hazard involving: exposure to hazardous voltages.,3,4
Component substitution error,Hazard involving: component substitution error.,4,3
Sharp tools or machinery,Hazard involving: sharp tools or machinery.,4,1
Inadvertent activation of system,Hazard involving: inadvertent activation of system.,5,4
Operator deviation,Hazard involving: operator deviation.,2,1
Flammable materials,Hazard involving: flammable materials.,5,1
System redundancy failure,Hazard involving: system redundancy failure.,4,4
Passive obstacle impact,Hazard involving: passive obstacle impact.,3,4
Fire/explosion initiation risk,Hazard involving: fire/explosion initiation risk.,2,2
Explosion potential,Hazard involving: explosion potential.,4,4
Ventilation failure,Hazard involving: ventilation failure.,2,1
Toxic or corrosive substance exposure,Hazard involving: toxic or corrosive substance exposure.,1,4
Electrical protection failure,Hazard involving: electrical protection failure.,2,4
Explosion potential,Hazard involving: explosion potential.,3,5
High temperature or cryogenic fluid exposure,Hazard involving: high temperature or cryogenic fluid exposure.,1,1
Impact between rail vehicle and person,Hazard involving: impact between rail vehicle and person.,3,1
Maintenance error,Hazard involving: maintenance error.,5,1
Explosion device,Hazard involving: explosion device.,5,4
System redundancy failure,Hazard involving: system redundancy failure.,1,5
Collision with object on track,Hazard involving: collision with object on track.,1,3
Sharp tools or machinery,Hazard involving: sharp tools or machinery.,5,4
Wet or uneven floor surface,Hazard involving: wet or uneven floor surface.,2,1
High temperature or cryogenic fluid exposure,Hazard involving: high temperature or cryogenic fluid exposure.,5,3
Interlock failure,Hazard involving: interlock failure.,2,2
Exposure to hazardous voltages,Hazard involving: exposure to hazardous voltages.,4,1
Foreign bodies and dust exposure,Hazard involving: foreign bodies and dust exposure.,4,1
Ergonomics/lighting related hazard,Hazard involving: ergonomics/lighting related hazard.,3,2
User error,Hazard involving: user error.,1,4
Derailment due to object on track,Hazard involving: derailment due to object on track.,4,3
High temperature or cryogenic fluid exposure,Hazard involving: high temperature or cryogenic fluid exposure.,4,4
Collision with rail structure,Hazard involving: collision with rail structure.,4,1
Extreme temperature exposure,Hazard involving: extreme temperature exposure.,3,3
System redundancy failure,Hazard involving: system redundancy failure.,1,4
Maintenance error,Hazard involving: maintenance error.,4,3
Impact from object falling from vehicle,Hazard involving: impact from object falling from vehicle.,3,2
Toxic or corrosive substance exposure,Hazard involving: toxic or corrosive substance exposure.,1,3
Component substitution error,Hazard involving: component substitution error.,2,4
Hydraulic arm or rotational machinery hazard,Hazard involving: hydraulic arm or rotational machinery hazard.,4,4
Collision between rail vehicles,Hazard involving: collision between rail vehicles.,3,5
Pressure system failure,Hazard involving: pressure system failure.,2,4
Electrical protection failure,Hazard involving: electrical protection failure.,1,4
Sharp object exposure,Hazard involving: sharp object exposure.,3,2
Exposure to toxic/corrosive substances,Hazard involving: exposure to toxic/corrosive substances.,2,4
Derailment due to overspeed,Hazard involving: derailment due to overspeed.,4,2
High temperature or cryogenic fluid exposure,Hazard involving: high temperature or cryogenic fluid exposure.,4,3
Cut or puncture projection exposure,Hazard involving: cut or puncture projection exposure.,3,4
Derailment due to infrastructure failure,Hazard involving: derailment due to infrastructure failure.,3,3
Electrical arcing exposure,Hazard involving: electrical arcing exposure.,4,1
Electrical arcing exposure,Hazard involving: electrical arcing exposure.,4,5
Ventilation failure,Hazard involving: ventilation failure.,1,4
Pressure system failure,Hazard involving: pressure system failure.,2,1
Ionising or non-ionising radiation,Hazard involving: ionising or non-ionising radiation.,3,4
Electrical protection failure,Hazard involving: electrical protection failure.,3,4
Training inadequacy,Hazard involving: training inadequacy.,1,4
Passive obstacle impact,Hazard involving: passive obstacle impact.,3,5
Extreme pressure exposure,Hazard involving: extreme pressure exposure.,2,2
Explosion potential,Hazard involving: explosion potential.,2,4
Person trapped,Hazard involving: person trapped.,2,3
Explosion potential,Hazard involving: explosion potential.,1,5
Interlock failure,Hazard involving: interlock failure.,2,2
Warning alarm failure,Hazard involving: warning alarm failure.,2,3
System redundancy failure,Hazard involving: system redundancy failure.,1,3
Inadvertent activation of system,Hazard involving: inadvertent activation of system.,4,1
Incident recording failure,Hazard involving: incident recording failure.,5,3
Foreign bodies and dust exposure,Hazard involving: foreign bodies and dust exposure.,4,1
Electromagnetic interference risk,Hazard involving: electromagnetic interference risk.,4,5
EM interference affecting navigation/timing,Hazard involving: em interference affecting navigation/timing.,4,3
Fall from height,Hazard involving: fall from height.,2,1
Component substitution error,Hazard involving: component substitution error.,5,4
Fail-safe design failure,Hazard involving: fail-safe design failure.,5,2
Support equipment hazard,Hazard involving: support equipment hazard.,3,4
Hydraulic system failure,Hazard involving: hydraulic system failure.,1,1
Explosion potential,Hazard involving: explosion potential.,1,5
Inadvertent activation of system,Hazard involving: inadvertent activation of system.,4,4
Sharp object exposure,Hazard involving: sharp object exposure.,1,2
Hostile act,Hazard involving: hostile act.,5,2
Fall from height,Hazard involving: fall from height.,1,3
Sharp object exposure,Hazard involving: sharp object exposure.,3,2
Exhaust gas exposure,Hazard involving: exhaust gas exposure.,4,2
Explosion potential,Hazard involving: explosion potential.,4,4
Exposure to hazardous voltages,Hazard involving: exposure to hazardous voltages.,2,3
Damage containment failure,Hazard involving: damage containment failure.,4,1
Wet or uneven floor surface,Hazard involving: wet or uneven floor surface.,2,3
Material incompatibilities,Hazard involving: material incompatibilities.,4,1
Drop hazard,Hazard involving: drop hazard.,3,1
Extreme pressure exposure,Hazard involving: extreme pressure exposure.,5,3
Material incompatibilities,Hazard involving: material incompatibilities.,3,4
Derailment due to object on track,Hazard involving: derailment due to object on track.,3,3
Derailment due to rolling stock fault,Hazard involving: derailment due to rolling stock fault.,4,1
Collision with object on track,Hazard involving: collision with object on track.,5,5
Extreme pressure exposure,Hazard involving: extreme pressure exposure.,3,1
Hydraulic system failure,Hazard involving: hydraulic system failure.,2,1
Extreme pressure exposure,Hazard involving: extreme pressure exposure.,5,3
Virus infection,Hazard involving: virus infection.,1,1
Noise hazard,Hazard involving: noise hazard.,4,5
User error,Hazard involving: user error.,5,4
Maintenance error,Hazard involving: maintenance error.,3,5
Wet or uneven floor surface,Hazard involving: wet or uneven floor surface.,3,3
Damage containment failure,Hazard involving: damage containment failure.,3,1
Material incompatibilities,Hazard involving: material incompatibilities.,5,5
Cut or puncture projection exposure,Hazard involving: cut or puncture projection exposure.,4,4
Laser radiation exposure,Hazard involving: laser radiation exposure.,2,2
Hazardous material assembly issue,Hazard involving: hazardous material assembly issue.,4,1
Hazardous surface hazard,Hazard involving: hazardous surface hazard.,2,5
"Slip, trip or fall hazard","Hazard involving: slip, trip or fall hazard.",1,1
Damage repair failure,Hazard involving: damage repair failure.,1,2
Failure of passive protective system,Hazard involving: failure of passive protective system.,2,1
Foreign bodies and dust exposure,Hazard involving: foreign bodies and dust exposure.,5,5
Damage repair failure,Hazard involving: damage repair failure.,5,2
Hostile act,Hazard involving: hostile act.,1,5
Egress/rescue hazard,Hazard involving: egress/rescue hazard.,2,2
Fail-safe design failure,Hazard involving: fail-safe design failure.,1,1
Interlock failure,Hazard involving: interlock failure.,5,3
Toxic or corrosive substance exposure,Hazard involving: toxic or corrosive substance exposure.,2,3
PPE inadequacy,Hazard involving: ppe inadequacy.,1,4
Ergonomics/lighting related hazard,Hazard involving: ergonomics/lighting related hazard.,4,2
Exhaust gas exposure,Hazard involving: exhaust gas exposure.,1,1
Extreme temperature exposure,Hazard involving: extreme temperature exposure.,5,1
Shock and vibration hazard,Hazard involving: shock and vibration hazard.,3,3
Hydraulic system failure,Hazard involving: hydraulic system failure.,2,3
Toxic substance control failure,Hazard involving: toxic substance control failure.,2,2
Exposure to toxic materials,Hazard involving: exposure to toxic materials.,1,2
Damage repair failure,Hazard involving: damage repair failure.,2,5
Impact from heavy object,Hazard involving: impact from heavy object.,3,2
Laser radiation exposure,Hazard involving: laser radiation exposure.,1,3
Collision between rail vehicles,Hazard involving: collision between rail vehicles.,2,1
Fire/explosion initiation risk,Hazard involving: fire/explosion initiation risk.,2,3
Explosive substances,Hazard involving: explosive substances.,4,1
Hazard containment failure,Hazard involving: hazard containment failure.,1,1
Maintenance error,Hazard involving: maintenance error.,2,4
Toxic or corrosive substance exposure,Hazard involving: toxic or corrosive substance exposure.,1,1
Health hazard,Hazard involving: health hazard.,5,4
Hazard containment failure,Hazard involving: hazard containment failure.,3,1
Exposure to hazardous voltages,Hazard involving: exposure to hazardous voltages.,2,5
Collision with rail structure,Hazard involving: collision with rail structure.,3,3
Impact between rail vehicle and person,Hazard involving: impact between rail vehicle and person.,2,2
Ventilation failure,Hazard involving: ventilation failure.,4,4
Exposure to toxic materials,Hazard involving: exposure to toxic materials.,2,4
Shock and vibration hazard,Hazard involving: shock and vibration hazard.,5,4
Extreme pressure exposure,Hazard involving: extreme pressure exposure.,3,3
Sharp tools or machinery,Hazard involving: sharp tools or machinery.,2,3
Supervision failure,Hazard involving: supervision failure.,4,5
Exposure to toxic/corrosive substances,Hazard involving: exposure to toxic/corrosive substances.,2,4
Damage containment failure,Hazard involving: damage containment failure.,2,4
Person trapped,Hazard involving: person trapped.,5,2
Drop hazard,Hazard involving: drop hazard.,4,4
Pressure system failure,Hazard involving: pressure system failure.,5,5
Explosive substances,Hazard involving: explosive substances.,4,4
Training inadequacy,Hazard involving: training inadequacy.,5,3
Fail-safe design failure,Hazard involving: fail-safe design failure.,2,1
Damage containment failure,Hazard involving: damage containment failure.,2,3
Hazardous construction materials,Hazard involving: hazardous construction materials.,2,3
Incident recording failure,Hazard involving: incident recording failure.,5,2
Explosive substances,Hazard involving: explosive substances.,4,1
Collision with object on track,Hazard involving: collision with object on track.,3,1
Warning alarm failure,Hazard involving: warning alarm failure.,1,2
Failure of passive protective system,Hazard involving: failure of passive protective system.,5,3
Damage containment failure,Hazard involving: damage containment failure.,3,4
Derailment due to overspeed,Hazard involving: derailment due to overspeed.,1,4
Flammable materials,Hazard involving: flammable materials.,5,3
Impact from heavy object,Hazard involving: impact from heavy object.,2,4
Flying object impact,Hazard involving: flying object impact.,1,4
Exposure to toxic materials,Hazard involving: exposure to toxic materials.,3,2
Drop hazard,Hazard involving: drop hazard.,1,3
Wet or uneven floor surface,Hazard involving: wet or uneven floor surface.,3,3
Collision with rail structure,Hazard involving: collision with rail structure.,2,5
Hazardous surface hazard,Hazard involving: hazardous surface hazard.,3,2
Exposure to hazardous voltages,Hazard involving: exposure to hazardous voltages.,4,1
Drop hazard,Hazard involving: drop hazard.,4,5
Crash safety hazard,Hazard involving: crash safety hazard.,5,4
Egress/rescue hazard,Hazard involving: egress/rescue hazard.,3,4
Crash safety hazard,Hazard involving: crash safety hazard.,3,5
Hazardous material storage issue,Hazard involving: hazardous material storage issue.,3,5
Motion-related energy source hazard,Hazard involving: motion-related energy source hazard.,1,4
Warning alarm failure,Hazard involving: warning alarm failure.,5,1
Hardware/software control failure,Hazard involving: hardware/software control failure.,4,5
Cut or puncture projection exposure,Hazard involving: cut or puncture projection exposure.,1,5
Derailment due to overspeed,Hazard involving: derailment due to overspeed.,2,2
Electrical source hazard,Hazard involving: electrical source hazard.,2,5
Design deviation,Hazard involving: design deviation.,3,5
Power supply failure,Hazard involving: power supply failure.,2,5
Health hazard,Hazard involving: health hazard.,1,2
Derailment due to infrastructure failure,Hazard involving: derailment due to infrastructure failure.,4,3
Noise hazard,Hazard involving: noise hazard.,1,1
Derailment due to object on track,Hazard involving: derailment due to object on track.,3,4
Support equipment hazard,Hazard involving: support equipment hazard.,2,2
Fire/explosion initiation risk,Hazard involving: fire/explosion initiation risk.,3,1
Failure of passive protective system,Hazard involving: failure of passive protective system.,3,2
Exhaust gas exposure,Hazard involving: exhaust gas exposure.,3,5
Motion-related energy source hazard,Hazard involving: motion-related energy source hazard.,4,4
Crash safety hazard,Hazard involving: crash safety hazard.,2,4
Sharp tools or machinery,Hazard involving: sharp tools or machinery.,5,1
Warning alarm failure,Hazard involving: warning alarm failure.,3,1
User error,Hazard involving: user error.,2,1
Toxic substance control failure,Hazard involving: toxic substance control failure.,3,2
Exposure to toxic materials,Hazard involving: exposure to toxic materials.,4,3
Passive obstacle impact,Hazard involving: passive obstacle impact.,2,1
Hazardous construction materials,Hazard involving: hazardous construction materials.,5,1
Flying object impact,Hazard involving: flying object impact.,3,4
Foreign bodies and dust exposure,Hazard involving: foreign bodies and dust exposure.,3,2
Exposure to toxic materials,Hazard involving: exposure to toxic materials.,3,3
Explosion device,Hazard involving: explosion device.,2,4
Sharp object exposure,Hazard involving: sharp object exposure.,3,3
